mVTris,TTris
-91.8,15
-91.3,15.5
-90.9,16
-90,16.5
-89.5,17
-88.9,17.5
-88.3,18
-87.7,18.5
-86.5,19.5
-85.9,20
-85.1,20.5
-84.5,21
-83.8,21.5
-82.8,22
-82.3,22.5
-81.5,23
-81,23.5
-80.1,24
-79.4,24.5
-78.7,25
-78,25.5
-77.3,26
-76.5,26.5
-75.8,27
-75.1,27.5
-74.4,28
-73.5,28.5
-72.9,29
-72.2,29.5
-71.3,30
